,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",7/12/2025 11:00,16.554731,80.64911,CO,29,60,41
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",7/12/2025 11:00,17.72,83.3,PM2.5,143,237,194
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",7/12/2025 11:00,17.72,83.3,OZONE,30,76,48
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",7/12/2025 11:00,27.103358,93.679645,PM2.5,18,358,132
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",7/12/2025 11:00,26.071318,91.87488,SO2,5,8,6
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",7/12/2025 11:00,26.071318,91.87488,CO,38,62,50
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",7/12/2025 11:00,26.071318,91.87488,OZONE,15,23,17
India,Assam,Guwahati,"IITG, Guwahati - PCBA",7/12/2025 11:00,26.2028636,91.70046436,CO,8,32,19
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",7/12/2025 11:00,26.10887,91.589544,PM2.5,55,344,239
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",7/12/2025 11:00,26.1875,91.744194,SO2,21,41,29
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",7/12/2025 11:00,26.181742,91.78063,PM2.5,44,341,206
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",7/12/2025 11:00,26.181742,91.78063,NO2,3,4,3
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",7/12/2025 11:00,26.349082,92.68449,NO2,1,1,1
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",7/12/2025 11:00,26.349082,92.68449,CO,21,24,23
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",7/12/2025 11:00,26.349082,92.68449,OZONE,9,9,9
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",7/12/2025 11:00,26.446912,91.439057,PM2.5,28,392,254
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",7/12/2025 11:00,26.446912,91.439057,NH3,5,6,6
